Key,Course Code,Course Name,Year,CO1,CO2,CO3,CO4,CO5,CO6,CO7,CO8,Appropriateness Of Assessment Tools,Course Suggestions,Like,Dislike,Hosting Tools,Lecture Rating,Text Book Availability
64e4e668031ce84c3e08d4aa,18CS520,Theory of computation,2022-23 ODD,3,3,4,3,2,3,NA,NA,appropriate,Nothing,Problem Solving,Nothing,good,good,available
64e4e668031ce84c3e08d4a7,18CS520,Theory of computation,2022-23 ODD,5,5,5,5,5,5,NA,NA,appropriate,Bennd,Bdbbd,Evbeb,excellent,excellent,available
64e4e668031ce84c3e08d4af,18CS520,Theory of computation,2022-23 ODD,5,5,5,5,5,5,NA,NA,appropriate,Nothing,Problem Solving,Nothing,good,good,available
64e4e668031ce84c3e08d4ba,18CS520,Theory of computation,2022-23 ODD,5,5,5,5,5,5,NA,NA,appropriate,Good enough,Problem Solving,Nothing,excellent,excellent,available
64e4e668031ce84c3e08d4be,18CS520,Theory of computation,2022-23 ODD,5,5,5,5,5,5,NA,NA,appropriate,No,Problem Solving,No,excellent,excellent,available
64e4e668031ce84c3e08d4d1,18CS520,Theory of computation,2022-23 ODD,4,4,3,3,4,3,NA,NA,changesRequired,Tutorails can b solved more,Problem Solving,I felt like the choice of language for starter is a bit advanced,good,good,moreCopiesRequired
64e4e668031ce84c3e08d4d3,18CS520,Theory of computation,2022-23 ODD,5,5,5,5,5,5,NA,NA,appropriate,Perfect,Problem Solving,No,excellent,excellent,available
64e4e668031ce84c3e08d4d5,18CS520,Theory of computation,2022-23 ODD,5,5,5,5,5,4,NA,NA,appropriate,-,Problem Solving,-,good,good,available
64e4e668031ce84c3e08d4f2,18CS520,Theory of computation,2022-23 ODD,5,5,5,5,5,5,NA,NA,appropriate,Concepts were okay. But not enough time to try all the book back numericals,Problem Solving,Lots of concepts,good,good,available
64e4e668031ce84c3e08d4f6,18CS520,Theory of computation,2022-23 ODD,5,5,5,5,5,5,NA,NA,appropriate,No more suggestions,Problem Solving,Not explained some topics detailed,good,average,notAvailable
64e4e668031ce84c3e08d4fa,18CS520,Theory of computation,2022-23 ODD,5,4,4,3,3,2,NA,NA,appropriate,"The subject is vague and vast, I would suggest to pick another textbook for teaching reference part which are quite short ",Problem Solving,I am not much into the software part i.e.coding side. So the contents of the syllabus which involved software stuffs were quite difficult for me,good,good,available
64e4e668031ce84c3e08d503,18CS520,Theory of computation,2022-23 ODD,5,5,5,5,5,5,NA,NA,appropriate,No,Problem Solving,No,excellent,excellent,available
64e5083c2e50abe298a9f324,18CS560,Software Engineering Theory and Practice,2022-23,5,5,5,5,5,5,NA,NA,appropriate,Nothing,Enterprise method has been understood,Nothing,good,good,available
64e5083c2e50abe298a9f335,18CS560,Software Engineering Theory and Practice,2022-23,3,3,4,3,2,3,NA,NA,changesRequired,Good enough,Enterprise method has been understood,Nothing,excellent,excellent,available
64e5083c2e50abe298a9f341,18CS560,Software Engineering Theory and Practice,2022-23,NA,NA,1,4,NA,2,NA,NA,appropriate,Best experience,Enterprise method has been understood,Nill,excellent,excellent,available
64e5083c2e50abe298a9f32d,18CS560,Software Engineering Theory and Practice,2022-23,5,5,5,5,5,5,NA,NA,changesRequired,Nothing,Problem Solving,Nothing,good,good,moreCopiesRequired
64e5083c2e50abe298a9f331,18CS560,Software Engineering Theory and Practice,2022-23,4,4,4,4,5,5,NA,NA,changesRequired,No,Problem Solving,Nothing,good,excellent,available
64e5083c2e50abe298a9f334,18CS560,Software Engineering Theory and Practice,2022-23,5,5,5,5,5,5,NA,NA,changesRequired,Nothing,Problem Solving,Nothing,good,good,available
64e5083c2e50abe298a9f336,18CS560,Software Engineering Theory and Practice,2022-23,3,3,4,3,2,3,NA,NA,changesRequired,Nothing,Problem Solving,Nothing,good,good,available
64e5083c2e50abe298a9f33f,18CS560,Software Engineering Theory and Practice,2022-23,5,5,5,5,5,5,NA,NA,appropriate,Nothing,Problem Solving,No,excellent,excellent,notAvailable
64e5083c2e50abe298a9f345,18CS560,Software Engineering Theory and Practice,2022-23,5,5,5,3,3,2,NA,NA,appropriate,No,Enterprise method has been understood,good,excellent,good,available
64e5083c2e50abe298a9f359,18CS560,Software Engineering Theory and Practice,2022-23,3,3,4,3,2,3,NA,NA,appropriate,Nothing,Problem Solving,Nothing,good,good,available
64e5083c2e50abe298a9f35d,18CS560,Software Engineering Theory and Practice,2022-23,5,5,5,5,5,5,NA,NA,changesRequired,Nothing to say everything is fine,Problem Solving,Studying various complex concepts which are actually very shallow for application with our domain,average,average,available
64e5083c2e50abe298a9f35f,18CS560,Software Engineering Theory and Practice,2022-23,4,4,4,4,4,4,NA,NA,appropriate,Nothing,Enterprise method has been understood,Nothing,good,good,available
64e5083c2e50abe298a9f375,18CS560,Software Engineering Theory and Practice,2022-23,3,3,4,3,2,3,NA,NA,appropriate,"The subject is vague and vast, I would suggest to pick another textbook for teaching reference part which are quite short ",Problem Solving,I am not much into the software part i.e.coding side. So the contents of the syllabus which involved software stuffs were quite difficult for me,good,good,available
64e5083c2e50abe298a9f38b,18CS560,Software Engineering Theory and Practice,2022-23,3,4,2,3,2,3,NA,NA,notAppropriate,-,Problem Solving,-,average,average,available
64e5083c2e50abe298a9f394,18CS560,Software Engineering Theory and Practice,2022-23,5,5,5,5,5,4,NA,NA,appropriate,Good content,Enterprise method has been understood,The boundary is vast,excellent,excellent,available
64e5083c2e50abe298a9f397,18CS560,Software Engineering Theory and Practice,2022-23,3,3,4,3,2,3,NA,NA,appropriate,Good,good understanding,Nothing to specify,,excellent,available
64e5083c2e50abe298a9f332,18CS560,Software Engineering Theory and Practice,2022-23,5,5,5,5,5,5,NA,NA,changesRequired,Teaching was very good and especially the project presentation which we were doing throughout the semester as 4 different reviews. That was a very good experience. Our presentation skill improved a lot for each presentation. So I will definitely recommend to retain this concept of doing presentation for juniors too.,good understanding,Nothing,excellent,excellent,notAvailable
64e5083c2e50abe298a9f338,18CS560,Software Engineering Theory and Practice,2022-23,5,5,5,5,4,4,NA,NA,changesRequired,"At the beginning of the course ,the course outcomes must be provided",Problem Solving,Not proper scheduling of course outcomes,good,good,available
64e5083c2e50abe298a9f344,18CS560,Software Engineering Theory and Practice,2022-23,5,5,5,5,5,5,NA,NA,appropriate,We weren't aware of some concepts which wasn't taught due to short period,Problem Solving,Not all concepts were taught due to lack of time,good,good,moreCopiesRequired
64e5083c2e50abe298a9f354,18CS560,Software Engineering Theory and Practice,2022-23,5,5,5,5,5,5,NA,NA,changesRequired,None,Problem Solving,Nothing to specify,excellent,excellent,available
64e5083c2e50abe298a9f356,18CS560,Software Engineering Theory and Practice,2022-23,5,4,3,2,1,NA,NA,NA,appropriate,_,Problem Solving,-,good,good,available
64e5083c2e50abe298a9f35a,18CS560,Software Engineering Theory and Practice,2022-23,3,3,4,3,2,3,NA,NA,appropriate,Nothing,Enterprise method has been understood,Nothing,good,good,available
64e5083c2e50abe298a9f367,18CS560,Software Engineering Theory and Practice,2022-23,3,3,4,3,2,3,NA,NA,appropriate,Yet not,Problem Solving,Nothing,excellent,excellent,available
64e5083c2e50abe298a9f368,18CS560,Software Engineering Theory and Practice,2022-23,5,5,5,5,4,4,NA,NA,appropriate,Nope it is super nice,Problem Solving,good,average,excellent,moreCopiesRequired
64e5083c2e50abe298a9f36c,18CS560,Software Engineering Theory and Practice,2022-23,5,5,5,5,5,5,NA,NA,appropriate,None,Enterprise method has been understood,Nothing to specify,excellent,excellent,available
64e5083c2e50abe298a9f377,18CS560,Software Engineering Theory and Practice,2022-23,5,5,5,5,5,5,NA,NA,appropriate,-,Problem Solving,good,good,good,available
64e5083c2e50abe298a9f382,18CS560,Software Engineering Theory and Practice,2022-23,3,3,4,3,2,3,NA,NA,appropriate,Nothing,good understanding,Nothing,good,good,available
64e5083c2e50abe298a9f387,18CS560,Software Engineering Theory and Practice,2022-23,5,5,5,4,5,4,NA,NA,appropriate,-,Problem Solving,-,excellent,good,available
